Code;Libellé;Population municipale 2016;Boulangerie 2017
01406;Servignat;175;0
01407;Seyssel;997;1
01408;Simandre-sur-Suran;677;0
01410;Sonthonnax-la-Montagne;318;0
01411;Souclin;268;0
01412;Sulignat;577;1
01415;Talissieu;448;0
01416;Tenay;1044;1
01418;Thil;1072;0
01419;Thoiry;6094;4
01420;Thoissey;1725;2
01421;Torcieu;725;0
01422;Tossiat;1366;3
01423;Toussieux;1002;0
01424;Tramoyes;1664;0
01425;La Tranclière;289;0
01426;Val-Revermont;2581;1
01427;Trévoux;6849;6
01428;Valeins;131;0
01429;Vandeins;685;0
01430;Varambon;531;0
01431;Vaux-en-Bugey;1228;1
01432;Verjon;278;0
01433;Vernoux;324;0
01434;Versailleux;421;1
01435;Versonnex;2186;1
01436;Vesancy;490;0
01437;Vescours;250;0
01439;Vésines;99;0
01441;Vieu-d'Izenave;699;0
01443;Villars-les-Dombes;4628;3
01444;Villebois;1160;1
01445;Villemotier;677;1
01446;Villeneuve;1481;1
01447;Villereversure;1275;1
01448;Villes;365;0
01449;Villette-sur-Ain;751;0
01450;Villieu-Loyes-Mollon;3586;2
01451;Viriat;6350;6
01452;Virieu-le-Grand;1056;1
01453;Arvière-en-Valromey;716;0
01454;Virignin;1089;1
01456;Vongnes;70;0
01457;Vonnas;2929;2
02001;Abbécourt;496;0
02002;Achery;602;0
02003;Acy;1008;0
02004;Agnicourt-et-Séchelles;179;0
02005;Aguilcourt;391;0
02006;Aisonville-et-Bernoville;251;0
02007;Aizelles;123;0
02008;Aizy-Jouy;289;0
02009;Alaincourt;546;0
02010;Allemant;175;0
02011;Ambleny;1162;1
02012;Ambrief;69;0
02013;Amifontaine;413;0
02014;Amigny-Rouy;741;0
02015;Ancienville;76;0
02016;Andelain;234;0
02017;Anguilcourt-le-Sart;313;0
02018;Anizy-le-Grand;2527;2
02019;Annois;365;0
02020;Any-Martin-Rieux;456;0
02021;Archon;89;0
02022;Arcy-Sainte-Restitue;403;0
02023;Armentières-sur-Ourcq;105;0
02024;Arrancy;53;0
02025;Artemps;369;0
02027;Assis-sur-Serre;226;1
02028;Athies-sous-Laon;2600;2
02029;Attilly;368;0
02030;Aubencheul-aux-Bois;277;0
02031;Aubenton;654;1
02032;Aubigny-aux-Kaisnes;249;0
02033;Aubigny-en-Laonnois;106;0
02034;Audignicourt;113;0
02035;Audigny;283;0
02036;Augy;87;0
02037;Aulnois-sous-Laon;1440;1
02038;Les Autels;58;0
02039;Autremencourt;169;0
02040;Autreppes;179;0
02041;Autreville;815;0
02042;Azy-sur-Marne;390;0
02043;Bagneux;71;0
02044;Bancigny;26;0
02046;Barenton-Bugny;550;0
02047;Barenton-Cel;117;0
02048;Barenton-sur-Serre;130;0
02049;Barisis-aux-Bois;743;1
02050;Barzy-en-Thiérache;325;0
02051;Barzy-sur-Marne;381;0
02052;Bassoles-Aulers;143;0
02053;Vallées en Champagne;566;0
02054;Bazoches-sur-Vesles;462;0
02055;Beaumé;95;0
02056;Beaumont-en-Beine;175;0
02057;Beaurevoir;1433;1
02058;Beaurieux;829;1
02059;Beautor;2697;1
02060;Beauvois-en-Vermandois;275;0
02061;Becquigny;260;0
